CASE;Geschlecht;Alter;Familienstand;Beruflicher Status;Branche;Mitarbeiteranzahl;UN-Zugehoerigkeit;Wochenarbeitszeit;Branche Sonstiges;Autonomie_1;OC_1;Kompetenz_1;Zugehoerigkeit_3;Zugehoerigkeit_4;Autonomie_2;OC_5;Kompetenz_4;Autonomie_3;OC_4;Kompetenz_5;Autonomie_4;Zugehoerigkeit_2;Kompetenz_6;Zugehoerigkeit_6;Autonomie_5;Kompetenz_3;OC_2;Zugehoerigkeit_5;Autonomie_6;Kompetenz_2;Zugehoerigkeit_1;OC_3;PE_UN;PE_Gesamt;PE_UN1;PE_UN2;PE_UN3;PE_UN4;PE_UN5;PE_UN6;PE_UN7;PE_UN8;PE_UN9;MAG;MAG-Haeufigkeit;MAG1;MAG2;MAG3;MAG4;MAG5;MAG6;JR;JR1;JR2;JR3;JR4;JR5;JR6;Mentoring;Mentoring1;Mentoring2;Mentoring3;Mentoring4;Mentoring5;Mentoring6;Laufbahn;Laufbahn1;Laufbahn2;Laufbahn3;Laufbahn4;Laufbahn5;Laufbahn6;
1547;2;31;2;1;6;1;3;45;;4;4;4;3;3;2;4;4;5;4;4;5;4;5;2;4;3;2;2;2;4;4;3;1;3;2;2;1;1;2;1;1;1;1;1;12;4;5;4;4;4;5;2;;;;;;;2;;;;;;;1;4;4;5;4;4;4;
1548;1;23;1;1;5;6;1;37;;5;5;5;5;5;5;5;5;5;3;5;5;4;5;5;5;5;5;1;5;4;5;5;5;1;4;2;2;2;1;1;1;2;1;1;1;2;5;5;5;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;
1549;2;23;1;1;6;5;4;39;;5;4;5;1;5;5;5;4;2;4;4;4;5;4;4;4;5;2;4;3;4;4;3;1;4;2;1;2;1;2;1;2;1;1;1;15;3;4;4;4;3;4;2;;;;;;;1;4;4;4;4;4;4;2;;;;;;;
1560;1;35;4;1;5;6;9;20;;4;1;4;2;2;3;1;4;1;2;4;1;3;4;2;3;4;5;3;2;4;1;2;1;1;2;1;1;1;1;1;1;1;1;1;2;5;4;4;3;4;2;2;;;;;;;2;;;;;;;2;;;;;;;
1576;1;26;3;1;10;6;6;38;;3;3;2;4;5;2;3;3;4;1;3;4;2;4;4;1;4;4;2;3;3;4;4;3;1;4;2;2;2;1;1;1;2;1;1;1;1;4;4;4;3;3;4;2;;;;;;;2;;;;;;;2;;;;;;
1579;1;28;1;1;10;5;6;38;;4;4;2;4;4;3;3;1;3;2;2;4;3;5;4;2;4;4;5;3;2;4;3;2;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1582;1;27;3;1;12;2;5;40;;3;1;1;5;3;1;1;5;1;1;5;1;3;5;4;1;5;5;3;1;5;3;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1584;2;35;1;1;10;1;3;40;;4;4;4;5;4;3;4;4;4;4;5;4;4;5;2;3;4;3;4;4;4;4;4;1;3;2;2;1;1;1;1;1;2;1;1;2;5;5;5;5;4;4;1;4;3;3;4;3;4;2;;;;;;;1;3;4;3;3;5;4;
1586;1;30;2;2;5;6;7;40;;3;2;5;5;3;3;3;5;3;3;5;3;4;5;3;3;5;3;2;3;5;4;2;1;1;2;1;1;1;1;1;1;1;1;1;2;3;3;4;3;2;3;2;;;;;;;2;;;;;;;2;;;;;;;
1591;2;24;1;1;2;5;5;39;;5;3;4;5;3;4;4;4;4;4;5;3;4;5;2;4;4;2;4;2;4;4;4;1;4;2;2;2;1;2;1;1;1;1;1;4;4;4;4;4;3;4;2;;;;;;;2;;;;;;;1;5;4;4;4;5;5;
1592;1;23;3;1;21;6;5;40;;3;1;4;3;3;2;2;4;2;2;5;3;3;4;2;3;5;5;3;1;4;3;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1603;1;27;1;1;14;4;8;39;;3;3;5;4;1;4;4;5;1;3;4;1;4;5;1;5;5;2;2;2;5;4;3;1;3;2;1;2;2;1;1;1;1;1;1;1;4;4;4;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
1606;1;26;1;2;9;6;6;35;;4;5;4;5;4;3;4;3;4;4;5;4;1;5;4;4;5;2;4;4;5;4;4;1;4;2;1;2;1;1;2;1;2;1;2;;;;;;;;1;2;3;4;3;4;5;2;;;;;;;1;5;4;5;4;5;5;
1607;2;20;1;1;21;6;3;40;;4;2;4;3;4;5;3;5;1;3;5;3;3;5;1;2;5;5;3;1;5;1;2;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1608;1;27;1;1;3;4;9;40;;3;2;4;2;4;2;1;4;2;2;4;3;5;5;5;4;4;4;4;2;3;4;2;1;2;1;1;2;1;1;1;1;1;2;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1609;1;23;3;1;13;6;5;40;;4;5;4;5;5;5;4;5;2;4;5;4;5;5;5;5;5;1;5;2;5;5;5;1;6;2;1;2;1;2;2;2;2;1;1;4;5;5;3;5;4;5;1;4;4;4;5;5;5;2;;;;;;;2;;;;;;;
1610;1;25;1;1;6;1;1;30;;2;2;2;3;2;2;2;2;2;2;2;2;3;4;1;1;1;5;1;2;2;2;2;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1612;2;37;1;1;14;1;19;38;;4;4;5;4;4;4;4;5;2;4;5;4;4;5;3;4;5;2;3;2;5;5;4;1;7;2;2;2;2;2;1;2;2;1;1;1;5;4;5;4;4;4;2;;;;;;;2;;;;;;;1;4;4;5;4;5;4;
1613;2;25;1;1;6;6;2;38;;4;4;4;5;4;3;5;5;5;2;4;4;5;5;5;2;4;5;2;3;2;5;4;4;1;6;2;2;2;2;2;1;1;2;1;1;2;5;4;4;5;5;3;2;;;;;;;2;;;;;;;2;;;;;;
1615;1;29;1;1;5;6;11;40;;5;5;5;1;5;5;5;5;2;5;5;5;5;5;4;5;5;1;5;4;5;5;5;1;8;2;2;2;2;2;2;2;2;1;1;3;5;5;5;5;5;5;2;;;;;;;1;5;5;5;4;5;5;1;5;5;5;4;5;5;
1618;1;27;1;1;20;5;5;40;;4;4;5;5;3;4;4;4;4;3;5;3;4;5;3;4;4;2;3;1;5;4;4;1;1;1;1;2;1;1;1;1;1;1;2;;;;;;;;1;4;4;4;3;3;5;2;;;;;;;2;;;;;;;
1620;2;27;1;1;8;6;6;38;;4;3;5;5;4;5;4;5;2;4;5;3;5;5;4;4;4;2;4;3;5;5;4;1;4;2;1;2;2;1;1;2;1;1;1;1;4;3;4;2;3;5;2;;;;;;;1;4;4;3;5;4;4;2;;;;;;;
1621;1;25;1;1;12;3;3;38;;4;4;3;3;5;4;3;2;4;1;2;3;3;2;3;5;4;4;3;5;2;3;5;3;1;3;2;1;2;1;1;1;1;2;1;1;1;2;4;4;4;3;4;2;;;;;;;2;;;;;;;2;;;;;;
1623;2;24;1;1;18;2;3;40;;4;3;3;5;4;4;3;4;2;3;4;3;4;4;4;4;4;2;4;1;4;5;3;1;5;2;1;2;1;2;1;2;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1624;1;34;2;2;19;6;16;43;;4;4;4;5;5;5;4;3;3;5;5;4;5;5;3;4;5;1;4;3;5;5;5;1;5;2;1;2;1;2;1;2;2;1;1;1;3;4;4;5;3;5;2;;;;;;;2;;;;;;;2;;;;;;;
1625;2;31;3;1;12;6;11;41;;4;5;4;5;5;4;5;5;4;5;5;4;4;5;2;4;5;1;5;3;5;5;4;1;3;2;2;2;1;1;1;1;1;1;1;4;5;5;5;5;5;5;2;;;;;;;2;;;;;;;1;4;5;4;5;4;3;
1626;1;25;1;1;10;6;5;38;;5;5;4;4;5;4;5;5;5;3;4;5;5;5;5;3;5;4;2;5;4;5;5;4;1;3;2;1;2;1;1;1;2;1;1;1;12;5;5;5;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;
1628;2;46;2;1;20;6;23;18;;3;2;4;5;3;5;2;4;1;2;4;1;3;5;5;3;3;4;2;1;3;4;2;1;9;2;2;2;2;2;2;2;2;2;1;1;5;4;5;5;3;2;1;5;5;5;3;3;5;1;4;3;3;2;2;4;2;;;;;;;
1629;1;34;1;1;2;6;15;40;;4;4;5;5;4;4;4;5;3;4;5;3;4;5;4;4;5;1;3;3;5;5;4;1;7;2;1;2;2;2;2;2;2;1;1;2;4;5;5;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;;
1633;2;36;3;1;13;4;2;40;;2;3;4;2;2;1;2;3;2;1;3;2;1;4;1;3;4;4;2;2;3;4;2;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1634;2;26;1;1;6;2;4;40;;4;3;4;5;4;3;3;4;4;5;5;3;5;5;2;5;5;1;4;4;4;3;4;1;2;2;1;2;1;1;1;1;1;1;1;1;5;4;4;4;5;4;1;3;3;3;3;3;3;2;;;;;;;2;;;;;;;
1636;2;32;1;1;10;6;1;38;;4;4;5;5;5;3;4;4;4;2;5;5;3;4;5;1;4;5;2;3;2;4;3;4;1;1;2;1;1;1;1;1;1;1;1;1;8;4;5;4;4;3;4;2;;;;;;;2;;;;;;;2;;;;;;
1638;1;25;1;1;2;6;6;40;;2;1;3;2;4;2;3;4;2;3;5;2;4;5;3;2;4;3;5;2;4;5;2;1;5;2;1;2;2;2;1;2;1;1;1;48;2;2;2;2;2;3;2;;;;;;;2;;;;;;;2;;;;;;;
1639;1;24;1;1;6;1;1;40;;4;1;4;5;3;4;2;4;3;2;4;3;3;3;3;4;4;2;3;2;5;4;1;1;2;2;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
