CASE;Geschlecht;Alter;Familienstand;Beruflicher Status;Branche;Mitarbeiteranzahl;UN-Zugehoerigkeit;Wochenarbeitszeit;Branche Sonstiges;Autonomie_1;OC_1;Kompetenz_1;Zugehoerigkeit_3;Zugehoerigkeit_4;Autonomie_2;OC_5;Kompetenz_4;Autonomie_3;OC_4;Kompetenz_5;Autonomie_4;Zugehoerigkeit_2;Kompetenz_6;Zugehoerigkeit_6;Autonomie_5;Kompetenz_3;OC_2;Zugehoerigkeit_5;Autonomie_6;Kompetenz_2;Zugehoerigkeit_1;OC_3;PE_UN;PE_Gesamt;PE_UN1;PE_UN2;PE_UN3;PE_UN4;PE_UN5;PE_UN6;PE_UN7;PE_UN8;PE_UN9;MAG;MAG-Haeufigkeit;MAG1;MAG2;MAG3;MAG4;MAG5;MAG6;JR;JR1;JR2;JR3;JR4;JR5;JR6;Mentoring;Mentoring1;Mentoring2;Mentoring3;Mentoring4;Mentoring5;Mentoring6;Laufbahn;Laufbahn1;Laufbahn2;Laufbahn3;Laufbahn4;Laufbahn5;Laufbahn6;
396;2;24;1;1;9;6;1;20;;2;4;3;5;4;2;4;5;1;4;4;1;4;4;3;3;5;3;5;1;5;3;4;1;5;2;1;2;1;1;2;2;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
408;2;34;1;1;6;6;12;40;;5;2;3;2;2;5;4;5;2;1;5;1;2;1;3;4;5;5;2;3;5;4;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;2;54;2;2;12;6;16;39;;4;5;5;5;4;4;3;4;3;4;5;4;4;1;1;4;4;1;3;4;4;5;4;1;2;2;1;1;2;1;1;1;1;1;1;1;3;3;2;4;3;3;2;;;;;;;1;4;4;4;3;3;4;2;;;;;;;
546;1;21;1;3;9;1;1;10;;3;2;2;4;2;1;3;4;2;3;4;2;4;3;1;3;4;4;2;2;4;3;2;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
547;1;23;1;3;10;1;1;15;;5;5;4;5;5;5;4;4;3;4;4;4;4;4;2;4;4;1;5;3;4;4;4;1;3;2;1;2;1;1;1;1;2;1;1;4;4;4;3;5;4;5;1;5;5;5;4;3;5;2;;;;;;;2;;;;;;;
549;1;26;1;1;2;3;10;39;;2;1;4;4;2;2;1;3;3;1;5;1;2;4;1;3;3;5;3;1;3;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;3;2;3;3;3;3;2;;;;;;;2;;;;;;;2;;;;;;;
555;2;50;2;1;7;3;25;35;;4;5;5;5;3;4;4;4;3;5;5;5;4;5;2;5;5;2;5;4;5;5;4;1;2;2;1;2;1;1;1;1;1;1;1;1;4;4;4;4;4;5;2;;;;;;;2;;;;;;;2;;;;;;;
559;1;24;3;3;7;1;2;24;;5;3;3;4;3;5;4;3;2;4;4;2;4;2;1;4;4;2;2;2;4;4;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;1;27;1;1;10;6;11;40;;5;2;5;1;5;4;3;5;2;5;5;4;5;5;4;4;5;1;4;2;5;5;5;1;4;2;1;2;1;2;1;2;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
586;2;25;4;3;3;4;5;8;;1;4;3;4;4;3;4;3;1;2;2;4;3;3;4;3;2;2;4;4;3;3;2;2;1;1;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;1;25;2;1;1;5;3;39;;3;4;5;5;5;2;3;5;3;5;5;3;5;5;5;3;5;2;5;3;5;4;5;1;4;2;2;2;1;2;1;1;1;1;1;1;2;4;3;2;5;3;2;;;;;;;2;;;;;;;1;3;3;3;3;3;3;
601;1;25;3;1;10;6;1;40;;5;5;5;2;4;5;4;5;2;4;5;4;4;5;2;4;5;2;4;3;5;4;4;1;4;2;1;2;1;1;1;2;2;1;1;1;2;4;4;3;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
621;2;25;1;1;1;6;6;36;;4;4;1;4;2;2;2;2;2;3;1;5;1;4;4;1;2;4;5;3;1;5;1;1;1;2;2;1;2;1;1;1;1;1;1;1;5;4;2;2;4;3;2;2;;;;;;;2;;;;;;;2;;;;;;
636;2;26;1;1;1;6;2;40;;2;3;5;4;3;4;3;5;4;2;5;2;3;5;4;3;5;3;3;2;5;3;3;1;2;2;1;2;1;1;1;1;1;1;1;1;4;4;4;4;2;4;2;;;;;;;2;;;;;;;2;;;;;;;
643;2;24;1;3;5;2;2;7;;2;3;3;2;3;3;3;2;4;3;4;2;3;3;3;2;2;2;3;3;2;4;2;2;1;1;1;1;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
648;1;31;2;1;10;3;1;48;;4;4;4;5;2;3;3;3;3;3;5;1;3;5;1;4;5;2;4;4;4;5;4;1;6;2;2;2;2;2;1;1;2;1;1;4;2;2;2;2;2;2;2;;;;;;;1;4;4;4;4;4;4;1;4;4;4;4;4;4;
733;1;26;1;1;8;2;7;40;;4;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;5;2;4;4;4;4;4;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
740;1;31;1;1;7;6;11;45;;2;2;4;5;3;3;4;4;4;2;5;4;3;5;5;3;4;1;5;1;5;5;2;1;4;2;1;2;2;1;2;1;1;1;2;;;;;;;;2;;;;;;;1;4;3;5;3;2;2;1;4;4;4;3;3;3;
753;2;34;1;1;10;3;2;20;;5;2;5;3;2;5;2;5;3;1;3;2;3;5;2;3;5;5;2;2;5;2;1;1;1;1;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
760;1;49;2;1;4;6;6;27;;3;2;4;5;4;2;2;3;2;2;3;2;2;3;3;3;4;4;4;2;4;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;4;3;2;4;2;2;2;;;;;;;2;;;;;;;2;;;;;;;
